Корпус,Кол-во комнат,Разница в цене,Новая цена за м2,Старая цена за м2,Разница в цене за м2,Разница в цене в %
1,1комн.,526250.0,185124.0,171942.0,13183.0,7.67
1,2комн.,612194.0,155141.0,145522.0,9619.0,6.58
1,3комн.,1072950.0,153890.0,141533.0,12357.0,8.73
1,4комн.,1435525.0,173368.0,159577.0,13791.0,8.64
2,1комн.,401910.0,176793.0,166426.0,10366.0,6.26
2,2комн.,574465.0,168770.0,159710.0,9060.0,5.66
2,3комн.,937740.0,173855.0,162983.0,10872.0,6.65
3,1комн.,518581.0,177063.0,164454.0,12609.0,7.67
3,2комн.,687277.0,161509.0,150642.0,10867.0,7.18
3,3комн.,1202430.0,167702.0,154315.0,13387.0,8.68
4,1комн.,516150.0,170861.0,158694.0,12168.0,7.67
4,2комн.,623017.0,154742.0,144651.0,10091.0,6.96
4,3комн.,1107867.0,156389.0,143819.0,12570.0,8.74
5,1комн.,502944.0,168415.0,156422.0,11993.0,7.67
5,2комн.,661715.0,154220.0,144080.0,10139.0,7.03
6,1комн.,409100.0,196491.0,186150.0,10341.0,5.56
7,1комн.,486244.0,213857.0,202601.0,11256.0,5.56
7,3комн.,862200.0,216916.0,205499.0,11417.0,5.56
7,Студия,378220.0,216306.0,204921.0,11385.0,5.56
8,1комн.,431100.0,196415.0,186077.0,10338.0,5.56
